iter	Passed	Remaining
399	34298	8574
400	34360	8483
401	34423	8391
402	34486	8300
403	34548	8209
404	34601	8116
405	34664	8025
406	34716	7932
407	34767	7839
408	34830	7749
409	34882	7657
410	34946	7567
411	35009	7477
412	35073	7388
413	35124	7296
414	35175	7204
415	35226	7113
416	35277	7021
417	35341	6933
418	35405	6844
419	35467	6755
420	35518	6665
421	35583	6576
422	35644	6488
423	35707	6400
424	35771	6312
425	35823	6222
426	35875	6133
427	35938	6045
428	36001	5958
429	36054	5869
430	36115	5781
431	36179	5694
432	36241	5607
433	36292	5519
434	36355	5432
435	36418	5345
436	36480	5259
437	36543	5172
438	36607	5086
439	36669	5000
440	36721	4912
441	36785	4827
442	36836	4739
443	36889	4652
444	36951	4567
445	37013	4481
446	37063	4394
447	37114	4307
448	37165	4221
449	37216	4135
450	37278	4050
451	37342	3965
452	37404	3880
453	37467	3796
454	37529	3711
455	37592	3627
456	37644	3542
457	37695	3456
458	37757	3372
459	37819	3288
460	37882	3204
461	37933	3120
462	37984	3035
463	38045	2951
464	38108	2868
465	38176	2785
466	38237	2702
467	38300	2618
468	38363	2535
469	38426	2452
470	38488	2369
471	38550	2286
472	38614	2204
473	38677	2121
474	38728	2038
475	38780	1955
476	38844	1873
477	38897	1790
478	38959	1708
479	39022	1625
480	39073	1543
481	39135	1461
482	39196	1379
483	39258	1297
484	39310	1215
485	39374	1134
486	39424	1052
487	39487	971
488	39538	889
489	39590	807
490	39640	726
491	39702	645
492	39754	564
493	39805	483
494	39868	402
495	39934	322
496	39997	241
497	40061	160
498	40123	80
499	40185	0
